App,ID,Author,Date,Rating,Helpful Count,Review,,,,,,
Youtube,22,DaHanster,28-Sep-20,2,48," Hey Google, you guys need to fix the compatibility issues with the Samsung Galaxy Note 20 Ultra 5G. The YouTube app constantly crashes/freezes when viewing videos in picture-in-picture mode. I am a YouTube Premium subscriber and this issue is seriously making me reconsider my subscription with your ...Full ReviewHey Google, you guys need to fix the compatibility issues with the Samsung Galaxy Note 20 Ultra 5G. The YouTube app constantly crashes/freezes when viewing videos in picture-in-picture mode. I am a YouTube Premium subscriber and this issue is seriously making me reconsider my subscription with your service. Please fix this issue with the YouTube app asap.",,,,,,
Youtube,23,S D,26-Sep-20,2,389," Get rid of the strip of button within the subscription section where it says ""all video, today, continue watching, etc"" it keeps getting in the way of the videos and moves too much. Just get rid of it so we have more space to view the videos. If u want to add it, add it as a 3 dot menu. Also if u ad...Full ReviewGet rid of the strip of button within the subscription section where it says ""all video, today, continue watching, etc"" it keeps getting in the way of the videos and moves too much. Just get rid of it so we have more space to view the videos. If u want to add it, add it as a 3 dot menu. Also if u add a youtube exclusive show in your playlist u can't undo it...",,,,,,
Youtube,24,Aliyas Qureshi,27-Sep-20,3,6969," The app is awesome. You can watch everything on it. But the only thing that sucks 😕 is the download problem iam facing these days. Sometimes I have to uninstall the updates to download the videos. Sometimes it just shows that the video is already downloaded and the video is not available 😑 in the ...Full ReviewThe app is awesome. You can watch everything on it. But the only thing that sucks 😕 is the download problem iam facing these days. Sometimes I have to uninstall the updates to download the videos. Sometimes it just shows that the video is already downloaded and the video is not available 😑 in the download section. Moreover whenever i download the video in bigger quality, the moderate quality video shows more mb than the higher quality video. This needs to be ",,,,,,
Youtube,25,Pixie Wonder,27-Sep-20,2,4330," I've found that we can't block a YouTube channel from appearing in search results. It only useful when you want to prevent them comment on your video. It sucks. When I want to block someone/channel, it means I hate it and I don't want too see it appears in my search result anymore. There's one chann...Full ReviewI've found that we can't block a YouTube channel from appearing in search results. It only useful when you want to prevent them comment on your video. It sucks. When I want to block someone/channel, it means I hate it and I don't want too see it appears in my search result anymore. There's one channel keep appearing. The thumbnail is so gross, and even it doesn't have any connection with the keyword I typed on search bar.",,,,,,
Youtube,26,Preston McIntosh,27-Sep-20,1,2128," Its a shame that you cannot even tap on a position in a video to start in the middle for instance. It forces you to press hold the marker and move it left or right. Before updating You could do either way to go to a certain spot in a video. It amazes me after hundreds or updates/versions simple feat...Full ReviewIts a shame that you cannot even tap on a position in a video to start in the middle for instance. It forces you to press hold the marker and move it left or right. Before updating You could do either way to go to a certain spot in a video. It amazes me after hundreds or updates/versions simple features do not even work. Getting tired of updating these apps taking up more storage, little to no improvements, + a change or even subtraction of a simple & basic feature!",,,,,,
Youtube,27,Popbomber Д�,27-Sep-20,2,285," Oh. My. God. How did this app get so much terrible after the update? Now, sometimes the videos I click wont play, the comments wont load, and the experience on the iPad was outright miserable. Now, it sometimes happens on my phone. It rarely happens, but it still happens. Also youtube on iPad just g...Full ReviewOh. My. God. How did this app get so much terrible after the update? Now, sometimes the videos I click wont play, the comments wont load, and the experience on the iPad was outright miserable. Now, it sometimes happens on my phone. It rarely happens, but it still happens. Also youtube on iPad just got so much worse. Now, the Hashtags will stack, and the videos on the side when watching a video wont even load.",,,,,,
Youtube,28,Barbara H,26-Sep-20,4,2076, My only complaint is that YouTube no longer indicates which videos I've already seen. It used to but for some reason doesn't anymore. Thought it was something on my end but I've seen a multitude of others saying they've noticed the same problem. It's extremely frustrating to be honest. Really wish t...Full ReviewMy only complaint is that YouTube no longer indicates which videos I've already seen. It used to but for some reason doesn't anymore. Thought it was something on my end but I've seen a multitude of others saying they've noticed the same problem. It's extremely frustrating to be honest. Really wish they'd fix whatever they've screwed up in that department.,,,,,,
Youtube,29,HatsuneHisa_Real,28-Sep-20,3,29," Saw it, I never really had problems with Ads, if on videos, thats how they make profit, YouTubers that is. The issue I have is taking away mobiles privileges to change the pfp from the app. Not all own a computer, and its hard using mobile desktop. I believe it said something of removing to do so th...Full ReviewSaw it, I never really had problems with Ads, if on videos, thats how they make profit, YouTubers that is. The issue I have is taking away mobiles privileges to change the pfp from the app. Not all own a computer, and its hard using mobile desktop. I believe it said something of removing to do so that way?",,,,,,
Youtube,30,Mark Sacréble,29-Sep-20,1,40," Ads when you start a video, ads in between and ads an the end. Increased unskipable ads and at times 2nd ad runs right after that! Sometimes when you dont skip an ad and let it play out, it just plays the next!!! Significant increase in ads from the last few updates. Enough already!!!!!!!",,,,,,
Youtube,31,John Brown,29-Sep-20,2,25," 90 percent of my recommendations are videos I've already seen. Ad breaks come in at awkward moments during the video. Often mid sentence. Too much advertising in general, same ads over and over and over. This platform used to be great. It's sad to see what it has become.",,,,,,
Youtube,32,James Reed,26-Sep-20,2,535," Please allow the selection of all available stream resolutions in the ""Download Quality"" section of the app. I would very much like to download at 480p resolution, as it really is the best compromise between size and quality, especially on smaller screens. Also there doesn't seem to be any reason to...Full ReviewPlease allow the selection of all available stream resolutions in the ""Download Quality"" section of the app. I would very much like to download at 480p resolution, as it really is the best compromise between size and quality, especially on smaller screens. Also there doesn't seem to be any reason to limit the range of resolutions in the first place, especially since it is a Premium-only feature anyway.",,,,,,
Youtube,33,Ryan Moody,28-Sep-20,1,214," Ads have gotten out of hand. There are ads before you watch the video, 1-2 ads multiple times in the middle of the video, 1-2 ads if you minimize and reopen YouTube on a video, and ad bar beneath the video. Since YouTube demonetizes people seemingly at random, the content creators have their own ads...Full ReviewAds have gotten out of hand. There are ads before you watch the video, 1-2 ads multiple times in the middle of the video, 1-2 ads if you minimize and reopen YouTube on a video, and ad bar beneath the video. Since YouTube demonetizes people seemingly at random, the content creators have their own ads on top of that. Alternatively, you can pay money to have the same experience YouTube used to have before Google got a hold of it. This is what happens when you have a monopoly.",,,,,,
Youtube,34,Kera M.,24-Sep-20,5,665," I've always loved YouTube. You can honestly watch hands on videos of almost anything you want. i.e. change a car tire, how to groom your dog... Now, keep in mind, they do always make it look a whole lot easier than what it really is. These fellas have had practice in which you know makes perfect. On...Full ReviewI've always loved YouTube. You can honestly watch hands on videos of almost anything you want. i.e. change a car tire, how to groom your dog... Now, keep in mind, they do always make it look a whole lot easier than what it really is. These fellas have had practice in which you know makes perfect. One thing that I will say, over the years that's passed, I will no longer let my kids, nieces or nephews watch you tube anymore! They have gotten to dirty with it. Anyway, other than that I 💜 ",,,,,,
Youtube,35,E E,27-Sep-20,1,93," Too many adds. Sometimes it plays more adds than there is length of the video. Usually when you click a video you are forced to watch adleast 1 minute of adds and multiple more sets of adds the longer the video is. They also keep trying to cram their rip-offs like YouTube Music, TV, Premium, Kids et...Full ReviewToo many adds. Sometimes it plays more adds than there is length of the video. Usually when you click a video you are forced to watch adleast 1 minute of adds and multiple more sets of adds the longer the video is. They also keep trying to cram their rip-offs like YouTube Music, TV, Premium, Kids etc. Down your throat.",,,,,,
Youtube,36,Paul T,26-Sep-20,2,279," Since the app updated yesterday, the video quality selection doesn't work properly for me. Keeps changing back to 480p, or it will say it's at 1080p60 but not actually be at that resolution. It worked fine before the update, and it's not my network bandwidth forcing it back down, as I'm on a 400mbps...Full ReviewSince the app updated yesterday, the video quality selection doesn't work properly for me. Keeps changing back to 480p, or it will say it's at 1080p60 but not actually be at that resolution. It worked fine before the update, and it's not my network bandwidth forcing it back down, as I'm on a 400mbps fibre network, and have no trouble streaming 4k on my TV...",,,,,,
Youtube,37,Colin Lo,28-Sep-20,1,292," Just so annoying that there are 2 ads right now, because of this, I HAD A TERRIBLE EXPERIENCE WITH YOUTUBE NOWADAYS, there are also a lot of bugs, for example, I never skip a part of the video, BUT THAN, YOUTUBE HELP ME PRESSED MORE THAN 5 TIMES SKIPPING！！！I don't know, man, maybe it does deserve mo...Full ReviewJust so annoying that there are 2 ads right now, because of this, I HAD A TERRIBLE EXPERIENCE WITH YOUTUBE NOWADAYS, there are also a lot of bugs, for example, I never skip a part of the video, BUT THAN, YOUTUBE HELP ME PRESSED MORE THAN 5 TIMES SKIPPING！！！I don't know, man, maybe it does deserve more love, or maybe",,,,,,
Youtube,38,Rutherford Cabral,27-Sep-20,2,370," I can't change the video quality no matter what I do, no matter if I use Wifi or mobile data... It's been rather annoying to open my web browser everytime I want to watch something in HD, I'm sick to encounter this awful bug, I've examined the settings numerous times to make sure nothing was erroneo...Full ReviewI can't change the video quality no matter what I do, no matter if I use Wifi or mobile data... It's been rather annoying to open my web browser everytime I want to watch something in HD, I'm sick to encounter this awful bug, I've examined the settings numerous times to make sure nothing was erroneous, all seems fine... Can you I don't know as an idea check what is going on?",,,,,,
Youtube,39,Shashwat Srivastava,27-Sep-20,1,83," Recently i dont know what happened to my youtube. Earlier it played all videos but not the same video are showing ""this video is not available"". Even the video is allowed in my country. Eg. Taki taki was playing few days ago but now its showing this video is not available. Any suggestions will be ap...Full ReviewRecently i dont know what happened to my youtube. Earlier it played all videos but not the same video are showing ""this video is not available"". Even the video is allowed in my country. Eg. Taki taki was playing few days ago but now its showing this video is not available. Any suggestions will be appreciated.",,,,,,
